DMU,Despesa de Intermediação Financeira,Despesa Administrativa e Operacionais,Receita de Intermediação Financeira,Receita com prestação de serviços,Outras receitas operacionais
BB_01,-18521080794.753334,-54572244737.79866,26116695118.83133,1924058989.713996,5079243315.932677
BB_02,-20895063390.857327,-57716732900.57824,27200596283.44859,1993001746.3143938,4810736677.157202
BB_03,-8306096009.873333,-51163811963.930916,25289033592.98399,1903773324.7656863,3927523428.6891537
BB_04,-22913962444.82267,-44673779908.807945,29387146384.377792,1053606573.7994831,3604493574.262556
BB_05,-27949611583.348,-65973592680.889145,40135037077.818054,1915541613.2338767,5767007545.53544
BB_06,-23195899254.468002,-42877637848.886826,28939325515.902126,1043010458.1891451,4279945890.124387
Itaú_01,-40945446181.024,-480278246008.5105,354789720708.1593,6091008036.280318,28519272402.186527
Itaú_02,-10601627867.441334,-35524781744.35319,20475841438.262745,835209036.9485885,3069574666.323005
Itaú_03,-10178826897.950666,-120054684158.81026,91195621110.20523,1420524584.4137974,4650816437.390363
Itaú_04,-5014256406.118667,-136240462239.1467,101937730891.79373,1418710139.9714513,4472941833.207288
Itaú_05,-15399771083.324001,-3534191107292.9336,3348118981072.2124,1528297830.8581312,5876862582.651157
Itaú_06,-9328813136.932001,-71245472712.0933,55547295025.121155,746560157.6652882,3450152964.7634196
Santander_01,-16405230828.841333,-45318657814.311424,23440029000.114513,777668617.685169,2851761774.300553
Santander_02,-7008144396.086666,-86690653435.10028,54249983988.16539,1837558086.2000797,5022812028.117479
Santander_03,-14961004576.934668,-119344932108.66176,82906030524.21631,1923321684.6633005,3754524516.6822453
Santander_04,-14997013125.686668,-69873837895.57127,39601024992.725136,1745899470.2308946,4448564351.511261
Santander_05,-22794762133.36666,-91263610291.52023,58310963172.552574,1802163599.0748308,5253745238.647703
Santander_06,-20034751841.985332,-45049985710.70122,27519245649.351242,721931643.9535586,2710360009.5768914
